"Ticker","Nome","Negócios","Última (R$)","Variação"
"SYNE3","SYN","295.100","5,57","+0,91%"
"BRBI11","BR Partners","290.900","15,80","+0,64%"
"KLBN3","Klabin","290.900","4,00","+1,01%"
"TGMA3","Tegma","289.600","34,41","+2,84%"
"TECN3","Technos","278.200","5,97","+2,23%"
"VTRU3","VITRUBREPCOM","267.500","9,19","+3,49%"
"VIVR3","Viver","264.600","0,93","-2,11%"
"PFRM3","Profarma","254.700","7,89","+0,25%"
"BRST3","Brisanet","254.600","2,84","+7,98%"
"INEP4","Inepar","248.600","1,90","-6,40%"
"TASA4","Taurus","245.900","7,98","+1,01%"
"SEQL3","Sequoia Logística","209.100","2,01","+0,50%"
"AGRO3","BrasilAgro","194.700","20,70","+2,17%"
"PTBL3","Portobello","189.600","4,17","+6,11%"
"RNEW4","Renova Energia","185.300","0,86","+1,18%"
"VLID3","Valid","185.000","25,49","+2,45%"
"SHOW3","Time For Fun","156.100","0,75","+7,14%"
"TAEE4","Taesa","148.400","11,67","+0,17%"
"INEP3","Inepar","140.600","2,39","-1,65%"
"PRNR3","Priner","140.000","16,22","-0,06%"
"UNIP6","Unipar","135.900","55,80","+0,54%"
"USIM3","Usiminas","132.400","5,45","+1,49%"
"ETER3","Eternit","127.400","4,66","+1,08%"
"TCSA3","Tecnisa","127.000","1,26","-0,79%"
"RNEW3","Renova Energia","125.100","0,93","+3,33%"
"PINE4","Banco Pine","114.000","5,08","+0,59%"
"ITSA3","Itaúsa","107.600","10,96","+1,39%"
"DEXP3","Dexxos","105.900","7,82","+0,26%"
"SANB3","Banco Santander","104.600","14,55","+3,34%"
"SANB4","Banco Santander","100.900","15,76","+1,87%"
"BRAP3","Bradespar","94.400","15,70","+1,29%"
"LVTC3","WDC Networks","84.900","3,03","-0,33%"
"DMVF3","D1000 Varejo Farma","83.000","5,43","-0,37%"
"ALPK3","Estapar","78.000","3,00","-1,32%"
"IGTI3","Jereissati Participações","72.100","2,48","+4,20%"
"IGTI3","Iguatemi","72.100","2,48","+4,20%"
"CSUD3","CSU Cardsystem","69.100","18,17","+2,48%"
"ROMI3","Indústrias ROMI","69.000","9,25","+0,65%"
"LPSB3","Lopes","66.100","1,34","-0,74%"
"CMIG3","Cemig","60.100","14,36","-0,28%"
"RSID3","Rossi Residencial","55.300","2,04","-2,86%"
"EUCA4","Eucatex","50.900","13,37","+0,07%"
"LOGN3","Log-In","50.300","24,85","+8,52%"
"TAEE3","Taesa","48.600","11,58","-0,26%"
"EALT4","Electro Aço Altona","48.200","15,20","+4,83%"
"NGRD3","Neogrid","47.300","20,94","+2,85%"
"GGBR3","Gerdau","45.800","15,06","+1,76%"
"TRAD3","Traders Club","44.300","6,83","-2,57%"
"ELMD3","Eletromidia","42.400","30,63","-1,89%"
"ALLD3","Allied","42.300","7,09","-0,14%"
"FHER3","Fertilizantes Heringer","41.600","4,02","+2,81%"
"BOBR4","Bombril","39.200","1,61","-1,83%"
"NUTR3","Nutriplant","37.800","3,64","-7,14%"
"AMBP3","Ambipar","37.600","120,01","-1,60%"
"AALR3","Alliança","37.500","5,68","+3,27%"
"PTNT4","Pettenati","37.200","5,12","-0,39%"
"TPIS3","Triunfo","36.400","4,29","+5,41%"
"OIBR4","Oi","33.000","7,37","+0,68%"
"EPAR3","Embpar Participações","28.500","4,53","-1,52%"
"LUPA3","Lupatech","27.700","1,26","+0,80%"
"GOAU3","Metalúrgica Gerdau","26.800","8,79","+1,62%"
"FICT3","Fictor Alimentos","26.700","3,98","-2,69%"
"BRKM3","Braskem","22.400","10,89","-0,55%"
"DEXP4","Dexxos","22.100","7,70","-0,52%"
"SCAR3","São Carlos","21.900","18,49","+2,72%"
"CEBR6","CEB","20.700","20,35","+1,14%"
"BIOM3","Biomm","19.700","9,97","-0,40%"
"AGXY3","AgroGalaxy","19.700","6,45","-1,07%"
"PDTC3","Padtec","19.300","1,11","+0,00%"
"FIEI3","Fica","19.000","10,00","+2,04%"
"UCAS3","Unicasa","16.700","1,72","+2,38%"
"AVLL3","Alphaville","15.700","2,38","+6,73%"
"COCE5","Coelce","15.100","26,00","+1,56%"
"CAMB3","Cambuci","14.900","9,66","+0,52%"
"TASA3","Taurus","13.000","8,01","+0,88%"
"ENGI4","Energisa","12.600","8,65","+6,66%"
"BSLI3","Banco de Brasília","12.400","8,00","-2,44%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","11.300","1,12","+1,82%"
"ALUP4","Alupar","10.500","9,62","+2,12%"
"RAPT3","Randon","10.300","7,71","+0,65%"
"DOTZ3","Dotz","10.000","4,85","+0,62%"
"BRSR3","Banrisul","9.600","12,92","+1,33%"
"EQPA3","Equatorial Energia Pará","9.100","6,16","-1,12%"
"RDNI3","RNI","8.800","2,87","-0,69%"
"BPAC5","Banco BTG Pactual","8.200","8,99","+2,63%"
"EMAE4","EMAE","7.300","33,00","+1,54%"
"BMEB4","Banco Mercantil do Brasil","7.100","35,20","+2,18%"
"AZEV11","Azevedo & Travassos","7.100","0,18","+0,00%"
"BEES3","Banestes","6.500","8,55","-0,12%"
"WHRL4","Whirlpool","6.300","4,48","+2,99%"
"CGRA4","Grazziotin","5.900","26,48","-1,01%"
"CEBR3","CEB","5.700","19,23","+1,75%"
"ENGI3","Energisa","5.500","12,12","+1,00%"
"ALUP3","Alupar","5.500","10,07","+0,00%"
"UNIP3","Unipar","5.300","51,00","+0,04%"
"CEDO4","Cedro Têxtil","4.800","21,17","-1,72%"
"ATMP3","Atma","4.500","1,19","+1,71%"
"JFEN3","João Fortes","4.400","2,12","-0,47%"
"BEES4","Banestes","3.700","8,69","+0,00%"
"ALPA3","Alpargatas","3.700","7,50","+0,81%"
"BSLI4","Banco de Brasília","3.500","8,46","+2,42%"
"HOOT4","Hotéis Othon","3.500","2,72","-0,37%"
"WHRL3","Whirlpool","3.400","4,13","+0,49%"
"BAZA3","Banco da Amazônia","3.300","89,79","-1,22%"
"RSUL4","Metalúrgica Riosulense","3.300","68,96","-0,52%"
"BGIP4","Banese","3.000","29,43","+0,93%"
"AMAR11","Lojas Marisa","2.900","0,30","+0,00%"
"BPAC3","Banco BTG Pactual","2.600","22,50","+0,22%"
"CGAS5","Comgás","2.400","126,67","-2,32%"
"RNEW11","Renova Energia","2.400","2,62","+1,55%"
"REAG3","REAG3","2.100","2,95","-0,34%"
"ISAE3","ISA Energia","1.900","32,39","+0,84%"
"EALT3","Electro Aço Altona","1.900","15,50","+7,64%"
"OFSA3","Ourofino Saúde Animal","1.800","22,27","-2,02%"
"CLSC4","Celesc","1.700","84,32","-0,17%"
"MWET4","Wetzel","1.700","15,85","+5,67%"
"VSTE3","LE LIS BLANC","1.700","6,23","+0,00%"
"MNPR3","Minupar","1.600","27,68","+0,69%"
"RPMG3","Refinaria de Manguinhos","1.600","2,76","-0,72%"
"HAGA3","Haga","1.600","2,00","+0,00%"
"PINE3","Banco Pine","1.500","4,97","+3,33%"
"TELB4","Telebras","1.400","8,91","-0,67%"
"PTNT3","Pettenati","1.200","8,94","-3,14%"
"WEST3","Westwing","1.200","4,63","-1,49%"
"BIED3","BIED3","1.200","3,39","-3,14%"
"BMEB3","Banco Mercantil do Brasil","1.100","30,40","+2,88%"
"CEBR5","CEB","1.100","19,24","+2,67%"
"REDE3","Rede Energia","1.100","6,62","-0,75%"
"OSXB3","OSX Brasil","1.000","2,97","+3,12%"
"BALM4","Baumer","800","14,72","+0,14%"
"HETA4","Hercules","700","5,07","-5,23%"
"PATI3","Panatlântica","500","31,50","-9,09%"
"TELB3","Telebras","400","12,55","+2,78%"
"CEED3","CEEE D","400","10,60","+10,42%"
"ESTR4","Estrela","400","4,15","+1,72%"
"DOHL4","Döhler","400","4,07","+0,00%"
"HAGA4","Haga","400","1,20","-2,44%"
"EKTR4","Elektro","300","49,91","-2,12%"
"EKTR3","Elektro","300","37,72","-9,76%"
"CPLE5","Copel","300","12,26","+0,08%"
"MGEL4","Mangels","300","6,04","-2,58%"
"CTSA4","Santanense","300","2,56","+0,00%"
"TKNO4","Tekno","200","81,93","+5,04%"
"UNIP5","Unipar","200","57,00","+5,56%"
"GEPA4","Rio Paranapanema Energia","200","33,90","+2,57%"
"CGRA3","Grazziotin","200","27,15","-0,69%"
"EQMA3B","Equatorial Maranhão","200","25,44","+1,76%"
"PPLA11","PPLA","114","1,11","-0,89%"
"BNBR3","Banco do Nordeste","100","101,46","-1,97%"
"CTKA4","Karsten","100","31,50","+0,00%"
"HBTS5","Habitasul","100","28,08","-6,40%"
"CRPG5","Tronox Pigmentos","100","21,99","+0,00%"
"AFLT3","Afluente T","100","7,59","+8,43%"
"PLAS3","Plascar","100","5,99","-3,39%"
"NEXP3","Brasil Brokers","100","3,90","+0,52%"
"BMKS3","Monark","7","376,00","+4,44%"
"CEEB3","COELBA","700","37,21","+0,54%"
"SNSY5","Sansuy","700","4,35","-0,68%"
"BMIN4","Banco Mercantil de Investimentos","500","16,40","+0,00%"
"FESA3","Ferbasa","400","12,68","+5,67%"
"MTSA4","Metisa","300","42,24","+2,65%"
"GEPA3","Rio Paranapanema Energia","300","33,00","+6,42%"
"GSHP3","General Shopping & Outlets","300","5,10","-7,27%"
"EUCA3","Eucatex","200","15,24","-2,18%"
"BDLL4","Bardella","200","8,19","+2,38%"
"CTSA3","Santanense","200","4,52","+0,00%"
"CGAS3","Comgás","100","125,54","+0,00%"
"LIPR3","Eletropar","100","39,96","-0,05%"
"PATI4","Panatlântica","100","32,00","+0,00%"
"MRSA5B","MRS Logística","100","25,95","-3,89%"
"BALM3","Baumer","100","16,30","-1,81%"
"BDLL3","Bardella","100","9,20","+6,98%"
"RPAD5","Alfa Holdings","100","6,30","-4,55%"
"LUXM4","Trevisa","100","5,99","+0,00%"
"MNDL3","Mundial","1.800","17,00","-5,50%"
